# all_ap,0.151536
# all_ap_50,0.298397
# all_ap_25,0.464295
# all_rc,0.338295
# all_rc_50,0.507667
# all_rc_25,0.638914
scene_id,AP,AP_50%,AP_25%
20_points_GTv3_99,0.318,0.510,0.560
25_points_GTv3_22,0.317,0.539,0.611
20_points_GTv3_76,0.316,0.575,0.663
25_points_GTv3_40,0.315,0.599,0.793
20_points_GTv3_73,0.315,0.509,0.577
25_points_GTv3_17,0.314,0.606,0.710
25_points_GTv3_98,0.308,0.667,0.667
25_points_GTv3_47,0.308,0.510,0.636
25_points_GTv3_65,0.306,0.497,0.602
25_points_GTv3_43,0.303,0.592,0.670
20_points_GTv3_67,0.303,0.577,0.649
25_points_GTv3_11,0.302,0.484,0.532
25_points_GTv3_01,0.301,0.541,0.650
25_points_GTv3_70,0.300,0.684,0.737
25_points_GTv3_63,0.295,0.558,0.755
25_points_GTv3_38,0.294,0.559,0.718
25_points_GTv3_94,0.292,0.714,0.857
25_points_GTv3_92,0.283,0.453,0.540
25_points_GTv3_64,0.282,0.554,0.693
25_points_GTv3_08,0.277,0.460,0.521
25_points_GTv3_88,0.275,0.581,0.666
25_points_GTv3_06,0.273,0.422,0.422
25_points_GTv3_99,0.273,0.667,0.762
20_points_GTv3_93,0.270,0.504,0.578
25_points_GTv3_89,0.269,0.417,0.600
25_points_GTv3_07,0.267,0.486,0.607
25_points_GTv3_42,0.265,0.555,0.626
25_points_GTv3_68,0.263,0.374,0.416
25_points_GTv3_00,0.256,0.562,0.613
25_points_GTv3_74,0.255,0.441,0.591
25_points_GTv3_77,0.251,0.411,0.411
25_points_GTv3_62,0.251,0.377,0.425
25_points_GTv3_71,0.250,0.361,0.624
25_points_GTv3_82,0.248,0.503,0.578
20_points_GTv3_83,0.245,0.428,0.703
25_points_GTv3_36,0.245,0.384,0.631
25_points_GTv3_51,0.238,0.478,0.507
20_points_GTv3_98,0.237,0.545,0.571
25_points_GTv3_23,0.236,0.378,0.558
25_points_GTv3_37,0.236,0.475,0.652
25_points_GTv3_75,0.230,0.372,0.572
25_points_GTv3_46,0.228,0.399,0.774
25_points_GTv3_34,0.226,0.413,0.981
20_points_GTv3_92,0.225,0.419,0.595
20_points_GTv3_94,0.222,0.438,0.468
25_points_GTv3_60,0.222,0.500,0.583
20_points_GTv3_91,0.221,0.352,0.525
25_points_GTv3_32,0.221,0.386,0.574
25_points_GTv3_31,0.216,0.340,0.538
25_points_GTv3_16,0.213,0.390,0.580
25_points_GTv3_97,0.213,0.404,0.450
20_points_GTv3_80,0.211,0.446,0.583
25_points_GTv3_72,0.208,0.347,0.406
20_points_GTv3_64,0.202,0.326,0.524
25_points_GTv3_26,0.200,0.351,0.680
25_points_GTv3_24,0.199,0.325,0.670
25_points_GTv3_41,0.198,0.513,0.654
25_points_GTv3_81,0.191,0.368,0.484
25_points_GTv3_50,0.190,0.655,0.690
25_points_GTv3_28,0.190,0.380,0.603
20_points_GTv3_86,0.180,0.416,0.571
