# all_ap,0.362705
# all_ap_50,0.484304
# all_ap_25,0.545124
# all_rc,0.498391
# all_rc_50,0.595797
# all_rc_25,0.637551
scene_id,AP,AP_50%,AP_25%
15_points_GTv3_25,0.189,0.350,0.427
20_points_GTv3_70,0.184,0.280,0.331
25_points_GTv3_93,0.183,0.246,0.293
10_points_GTv3_85,0.182,0.314,0.580
25_points_GTv3_21,0.181,0.412,0.467
05_points_GTv3_44,0.180,0.311,0.343
20_points_GTv3_85,0.178,0.308,0.516
10_points_GTv3_84,0.177,0.224,0.314
20_points_GTv3_97,0.174,0.242,0.290
20_points_GTv3_34,0.174,0.245,0.322
10_points_GTv3_44,0.169,0.172,0.172
20_points_GTv3_91,0.168,0.215,0.295
05_points_GTv3_98,0.163,0.167,0.167
10_points_GTv3_72,0.163,0.250,0.386
20_points_GTv3_45,0.162,0.212,0.360
10_points_GTv3_34,0.161,0.163,0.214
05_points_GTv3_95,0.157,0.174,0.209
20_points_GTv3_88,0.154,0.256,0.341
20_points_GTv3_84,0.153,0.157,0.412
20_points_GTv3_26,0.149,0.283,0.371
05_points_GTv3_45,0.149,0.191,0.295
20_points_GTv3_55,0.148,0.215,0.313
15_points_GTv3_95,0.147,0.278,0.434
20_points_GTv3_73,0.143,0.227,0.227
05_points_GTv3_03,0.143,0.194,0.194
25_points_GTv3_13,0.141,0.204,0.252
10_points_GTv3_40,0.141,0.175,0.203
15_points_GTv3_00,0.128,0.140,0.434
10_points_GTv3_76,0.127,0.220,0.274
25_points_GTv3_14,0.126,0.187,0.337
05_points_GTv3_29,0.124,0.140,0.165
20_points_GTv3_09,0.121,0.214,0.436
05_points_GTv3_65,0.120,0.150,0.150
10_points_GTv3_63,0.119,0.154,0.226
25_points_GTv3_80,0.117,0.243,0.324
10_points_GTv3_41,0.113,0.129,0.182
20_points_GTv3_21,0.113,0.160,0.366
10_points_GTv3_45,0.111,0.163,0.179
10_points_GTv3_32,0.110,0.122,0.122
20_points_GTv3_50,0.107,0.169,0.203
10_points_GTv3_96,0.105,0.160,0.160
20_points_GTv3_95,0.101,0.136,0.221
20_points_GTv3_48,0.089,0.100,0.167
05_points_GTv3_51,0.084,0.100,0.100
05_points_GTv3_93,0.076,0.076,0.273
05_points_GTv3_04,0.073,0.073,0.073
05_points_GTv3_28,0.073,0.117,0.142
10_points_GTv3_98,0.072,0.087,0.087
10_points_GTv3_14,0.071,0.159,0.201
20_points_GTv3_63,0.064,0.085,0.244
05_points_GTv3_05,0.064,0.064,0.064
05_points_GTv3_87,0.055,0.088,0.173
10_points_GTv3_35,0.054,0.056,0.138
10_points_GTv3_97,0.047,0.092,0.130
10_points_GTv3_93,0.045,0.180,0.330
05_points_GTv3_55,0.041,0.054,0.165
10_points_GTv3_86,0.038,0.087,0.205
10_points_GTv3_60,0.036,0.053,0.267
05_points_GTv3_85,0.032,0.038,0.038
10_points_GTv3_79,0.030,0.030,0.155
10_points_GTv3_33,0.028,0.035,0.059
05_points_GTv3_77,0.026,0.043,0.064
05_points_GTv3_94,0.025,0.025,0.025
05_points_GTv3_19,0.022,0.022,0.022
20_points_GTv3_06,0.020,0.023,0.081
10_points_GTv3_01,0.012,0.015,0.015
10_points_GTv3_62,0.012,0.026,0.039
20_points_GTv3_78,0.009,0.040,0.083
10_points_GTv3_50,0.000,0.000,0.029
