# all_ap,0.234402
# all_ap_50,0.331129
# all_ap_25,0.444016
# all_rc,0.421954
# all_rc_50,0.579199
# all_rc_25,0.749053
scene_id,AP,AP_50%,AP_25%
10_points_GTv3_27,0.204,0.231,0.315
10_points_GTv3_85,0.203,0.336,0.463
15_points_GTv3_05,0.203,0.246,0.380
05_points_GTv3_74,0.201,0.254,0.345
10_points_GTv3_42,0.200,0.308,0.411
15_points_GTv3_50,0.200,0.425,0.545
20_points_GTv3_13,0.200,0.294,0.418
20_points_GTv3_23,0.198,0.291,0.503
15_points_GTv3_22,0.197,0.335,0.430
15_points_GTv3_98,0.197,0.270,0.431
10_points_GTv3_00,0.195,0.337,0.396
10_points_GTv3_76,0.194,0.280,0.313
05_points_GTv3_78,0.194,0.246,0.380
10_points_GTv3_94,0.192,0.278,0.452
10_points_GTv3_52,0.192,0.314,0.408
15_points_GTv3_40,0.191,0.300,0.443
15_points_GTv3_67,0.189,0.352,0.452
10_points_GTv3_43,0.187,0.281,0.341
15_points_GTv3_87,0.185,0.258,0.424
20_points_GTv3_40,0.185,0.304,0.467
20_points_GTv3_11,0.185,0.278,0.369
20_points_GTv3_74,0.184,0.304,0.452
15_points_GTv3_82,0.180,0.282,0.344
20_points_GTv3_14,0.180,0.306,0.410
15_points_GTv3_88,0.180,0.283,0.468
15_points_GTv3_13,0.180,0.284,0.377
15_points_GTv3_58,0.176,0.266,0.358
20_points_GTv3_33,0.175,0.323,0.519
05_points_GTv3_26,0.174,0.348,0.534
05_points_GTv3_40,0.173,0.319,0.493
20_points_GTv3_00,0.173,0.249,0.418
15_points_GTv3_25,0.171,0.264,0.383
10_points_GTv3_89,0.170,0.267,0.375
05_points_GTv3_18,0.168,0.218,0.288
15_points_GTv3_71,0.161,0.283,0.410
10_points_GTv3_48,0.159,0.239,0.473
05_points_GTv3_61,0.157,0.256,0.363
20_points_GTv3_57,0.156,0.299,0.411
10_points_GTv3_22,0.156,0.177,0.306
10_points_GTv3_18,0.156,0.266,0.448
05_points_GTv3_54,0.155,0.229,0.350
20_points_GTv3_50,0.154,0.267,0.459
15_points_GTv3_42,0.153,0.273,0.434
20_points_GTv3_28,0.152,0.312,0.487
20_points_GTv3_26,0.152,0.283,0.474
20_points_GTv3_12,0.151,0.277,0.519
10_points_GTv3_25,0.150,0.392,0.531
20_points_GTv3_24,0.150,0.323,0.406
05_points_GTv3_86,0.150,0.282,0.411
15_points_GTv3_99,0.148,0.295,0.469
05_points_GTv3_93,0.148,0.254,0.312
15_points_GTv3_32,0.147,0.324,0.435
20_points_GTv3_34,0.143,0.193,0.360
05_points_GTv3_31,0.143,0.226,0.333
10_points_GTv3_97,0.143,0.249,0.408
15_points_GTv3_95,0.143,0.263,0.511
15_points_GTv3_21,0.142,0.232,0.343
15_points_GTv3_48,0.142,0.239,0.383
20_points_GTv3_55,0.142,0.219,0.359
10_points_GTv3_47,0.140,0.213,0.330
10_points_GTv3_72,0.132,0.257,0.370
05_points_GTv3_28,0.132,0.239,0.315
05_points_GTv3_64,0.131,0.136,0.245
10_points_GTv3_12,0.123,0.225,0.472
10_points_GTv3_38,0.122,0.157,0.264
15_points_GTv3_00,0.122,0.204,0.496
10_points_GTv3_51,0.121,0.189,0.323
10_points_GTv3_87,0.121,0.202,0.398
20_points_GTv3_63,0.118,0.259,0.489
05_points_GTv3_70,0.113,0.204,0.310
20_points_GTv3_59,0.109,0.224,0.415
05_points_GTv3_44,0.103,0.214,0.415
10_points_GTv3_93,0.102,0.102,0.425
05_points_GTv3_55,0.100,0.153,0.251
05_points_GTv3_84,0.099,0.173,0.343
10_points_GTv3_14,0.098,0.162,0.424
05_points_GTv3_65,0.098,0.149,0.282
10_points_GTv3_44,0.098,0.141,0.241
05_points_GTv3_52,0.095,0.123,0.362
05_points_GTv3_03,0.093,0.154,0.262
10_points_GTv3_02,0.088,0.186,0.354
10_points_GTv3_23,0.085,0.202,0.419
05_points_GTv3_95,0.085,0.093,0.197
10_points_GTv3_37,0.083,0.112,0.255
10_points_GTv3_84,0.081,0.146,0.289
05_points_GTv3_75,0.079,0.136,0.166
10_points_GTv3_34,0.079,0.127,0.283
05_points_GTv3_29,0.077,0.136,0.223
20_points_GTv3_36,0.071,0.162,0.408
10_points_GTv3_45,0.070,0.145,0.292
05_points_GTv3_51,0.068,0.108,0.336
10_points_GTv3_17,0.068,0.102,0.281
05_points_GTv3_45,0.067,0.130,0.334
10_points_GTv3_96,0.064,0.130,0.335
10_points_GTv3_41,0.063,0.126,0.266
10_points_GTv3_60,0.063,0.122,0.337
10_points_GTv3_71,0.062,0.113,0.411
10_points_GTv3_63,0.061,0.117,0.331
10_points_GTv3_86,0.061,0.129,0.308
10_points_GTv3_40,0.061,0.161,0.337
05_points_GTv3_98,0.057,0.120,0.332
10_points_GTv3_35,0.055,0.094,0.274
05_points_GTv3_92,0.045,0.174,0.236
05_points_GTv3_04,0.040,0.052,0.127
10_points_GTv3_65,0.034,0.101,0.417
10_points_GTv3_98,0.033,0.057,0.188
05_points_GTv3_77,0.032,0.104,0.225
10_points_GTv3_50,0.030,0.061,0.200
10_points_GTv3_32,0.026,0.050,0.188
10_points_GTv3_99,0.023,0.029,0.196
10_points_GTv3_01,0.021,0.048,0.258
10_points_GTv3_33,0.013,0.037,0.170
10_points_GTv3_62,0.011,0.020,0.181
05_points_GTv3_19,0.009,0.023,0.074
05_points_GTv3_99,0.006,0.021,0.168
05_points_GTv3_94,0.006,0.026,0.096
05_points_GTv3_85,0.005,0.037,0.092
25_points_GTv3_20,nan,nan,nan
25_points_GTv3_15,0.596,0.647,0.696
25_points_GTv3_59,0.580,0.705,0.705
25_points_GTv3_18,0.551,0.666,0.702
25_points_GTv3_86,0.529,0.679,0.679
25_points_GTv3_10,0.489,0.559,0.640
25_points_GTv3_84,0.485,0.551,0.642
25_points_GTv3_29,0.463,0.561,0.604
20_points_GTv3_93,0.448,0.521,0.572
25_points_GTv3_19,0.445,0.572,0.659
25_points_GTv3_02,0.444,0.551,0.697
25_points_GTv3_96,0.443,0.642,0.680
25_points_GTv3_32,0.436,0.506,0.543
25_points_GTv3_94,0.434,0.588,0.590
25_points_GTv3_11,0.431,0.576,0.607
25_points_GTv3_78,0.422,0.436,0.501
25_points_GTv3_57,0.420,0.545,0.545
25_points_GTv3_69,0.417,0.498,0.642
25_points_GTv3_54,0.415,0.589,0.631
25_points_GTv3_77,0.415,0.551,0.584
25_points_GTv3_88,0.410,0.501,0.642
25_points_GTv3_85,0.404,0.572,0.614
25_points_GTv3_35,0.404,0.530,0.530
25_points_GTv3_61,0.404,0.507,0.599
25_points_GTv3_73,0.401,0.500,0.579
25_points_GTv3_95,0.389,0.497,0.590
25_points_GTv3_07,0.388,0.500,0.594
25_points_GTv3_92,0.386,0.585,0.613
25_points_GTv3_37,0.382,0.483,0.564
25_points_GTv3_31,0.379,0.466,0.543
25_points_GTv3_06,0.379,0.500,0.552
25_points_GTv3_28,0.378,0.494,0.576
25_points_GTv3_63,0.375,0.411,0.506
20_points_GTv3_92,0.374,0.519,0.620
25_points_GTv3_27,0.372,0.514,0.514
25_points_GTv3_48,0.366,0.427,0.529
25_points_GTv3_76,0.364,0.470,0.555
25_points_GTv3_83,0.361,0.523,0.523
20_points_GTv3_83,0.361,0.485,0.598
25_points_GTv3_26,0.360,0.519,0.554
25_points_GTv3_89,0.358,0.626,0.693
25_points_GTv3_91,0.357,0.444,0.520
25_points_GTv3_99,0.353,0.429,0.586
25_points_GTv3_34,0.346,0.488,0.590
25_points_GTv3_05,0.345,0.471,0.564
25_points_GTv3_60,0.344,0.548,0.593
25_points_GTv3_40,0.344,0.503,0.664
25_points_GTv3_67,0.342,0.385,0.464
25_points_GTv3_41,0.340,0.452,0.573
25_points_GTv3_64,0.340,0.488,0.585
20_points_GTv3_82,0.337,0.470,0.544
25_points_GTv3_72,0.336,0.479,0.479
25_points_GTv3_98,0.335,0.527,0.587
25_points_GTv3_70,0.335,0.422,0.461
25_points_GTv3_90,0.335,0.395,0.592
25_points_GTv3_79,0.334,0.479,0.585
25_points_GTv3_25,0.333,0.359,0.485
25_points_GTv3_56,0.330,0.483,0.560
25_points_GTv3_44,0.327,0.487,0.528
25_points_GTv3_66,0.324,0.474,0.555
20_points_GTv3_98,0.323,0.374,0.528
25_points_GTv3_42,0.322,0.446,0.585
25_points_GTv3_50,0.322,0.424,0.550
25_points_GTv3_38,0.321,0.394,0.507
25_points_GTv3_53,0.320,0.417,0.593
25_points_GTv3_58,0.318,0.411,0.468
25_points_GTv3_47,0.318,0.447,0.447
25_points_GTv3_51,0.318,0.413,0.530
25_points_GTv3_04,0.315,0.401,0.563
25_points_GTv3_45,0.311,0.454,0.534
25_points_GTv3_74,0.306,0.435,0.504
25_points_GTv3_00,0.305,0.473,0.610
20_points_GTv3_96,0.304,0.472,0.581
25_points_GTv3_97,0.304,0.400,0.521
20_points_GTv3_88,0.299,0.403,0.507
25_points_GTv3_08,0.295,0.421,0.421
25_points_GTv3_01,0.293,0.369,0.649
20_points_GTv3_95,0.292,0.379,0.470
25_points_GTv3_55,0.288,0.387,0.559
25_points_GTv3_93,0.285,0.345,0.557
25_points_GTv3_68,0.284,0.309,0.424
25_points_GTv3_17,0.284,0.377,0.550
20_points_GTv3_87,0.282,0.332,0.483
25_points_GTv3_36,0.279,0.353,0.519
25_points_GTv3_22,0.275,0.359,0.507
20_points_GTv3_86,0.263,0.374,0.549
25_points_GTv3_16,0.261,0.369,0.518
25_points_GTv3_24,0.261,0.336,0.464
25_points_GTv3_43,0.261,0.443,0.537
20_points_GTv3_75,0.260,0.343,0.424
25_points_GTv3_30,0.259,0.390,0.571
25_points_GTv3_33,0.259,0.354,0.481
25_points_GTv3_23,0.258,0.347,0.545
20_points_GTv3_99,0.258,0.348,0.543
25_points_GTv3_62,0.255,0.325,0.462
25_points_GTv3_12,0.250,0.280,0.435
25_points_GTv3_49,0.250,0.436,0.559
20_points_GTv3_80,0.247,0.385,0.455
25_points_GTv3_80,0.244,0.410,0.557
20_points_GTv3_94,0.240,0.338,0.518
25_points_GTv3_65,0.239,0.388,0.473
25_points_GTv3_82,0.239,0.304,0.481
25_points_GTv3_14,0.238,0.383,0.438
25_points_GTv3_75,0.237,0.411,0.477
20_points_GTv3_64,0.234,0.347,0.463
25_points_GTv3_71,0.234,0.329,0.456
25_points_GTv3_52,0.233,0.419,0.460
25_points_GTv3_81,0.231,0.416,0.416
20_points_GTv3_76,0.230,0.334,0.503
20_points_GTv3_90,0.226,0.332,0.481
25_points_GTv3_87,0.225,0.330,0.472
20_points_GTv3_91,0.225,0.328,0.497
20_points_GTv3_89,0.224,0.303,0.480
20_points_GTv3_84,0.217,0.264,0.489
25_points_GTv3_39,0.200,0.226,0.361
25_points_GTv3_03,0.196,0.279,0.490
25_points_GTv3_09,0.189,0.249,0.367
25_points_GTv3_13,0.183,0.290,0.450
25_points_GTv3_46,0.182,0.337,0.430
25_points_GTv3_21,0.181,0.298,0.369
20_points_GTv3_73,0.169,0.185,0.426
20_points_GTv3_78,0.164,0.261,0.412
20_points_GTv3_85,0.159,0.356,0.551
20_points_GTv3_97,0.135,0.249,0.445
20_points_GTv3_67,0.113,0.243,0.463
20_points_GTv3_81,0.085,0.159,0.412
