# all_ap,0.359795
# all_ap_50,0.476091
# all_ap_25,0.583397
# all_rc,0.528831
# all_rc_50,0.619489
# all_rc_25,0.684508
scene_id,AP,AP_50%,AP_25%
25_points_GTv3_02,0.553,0.812,0.924
25_points_GTv3_06,0.547,0.636,0.636
25_points_GTv3_91,0.543,0.800,0.800
25_points_GTv3_56,0.543,0.800,0.800
25_points_GTv3_72,0.527,0.597,0.718
25_points_GTv3_85,0.522,0.690,0.690
25_points_GTv3_37,0.521,0.636,0.636
25_points_GTv3_01,0.517,0.714,0.714
20_points_GTv3_94,0.510,0.635,0.714
20_points_GTv3_80,0.501,0.769,0.769
25_points_GTv3_76,0.484,0.669,0.669
25_points_GTv3_28,0.483,0.619,0.649
20_points_GTv3_85,0.466,0.545,0.545
25_points_GTv3_22,0.457,0.520,0.714
20_points_GTv3_72,0.448,0.778,0.889
25_points_GTv3_82,0.447,0.586,0.682
25_points_GTv3_49,0.445,0.655,0.779
25_points_GTv3_38,0.445,0.590,0.592
25_points_GTv3_55,0.429,0.527,0.819
25_points_GTv3_43,0.428,0.532,0.532
25_points_GTv3_13,0.427,0.608,0.617
25_points_GTv3_03,0.423,0.613,0.762
25_points_GTv3_16,0.405,0.572,0.572
25_points_GTv3_93,0.396,0.455,0.545
25_points_GTv3_21,0.386,0.395,0.395
20_points_GTv3_67,0.386,0.523,0.523
20_points_GTv3_91,0.379,0.438,0.515
20_points_GTv3_88,0.377,0.556,0.627
25_points_GTv3_23,0.363,0.469,0.658
25_points_GTv3_81,0.358,0.570,0.570
20_points_GTv3_98,0.356,0.653,0.691
25_points_GTv3_66,0.350,0.485,0.585
25_points_GTv3_87,0.344,0.600,0.600
25_points_GTv3_75,0.344,0.529,0.551
25_points_GTv3_50,0.343,0.688,0.688
20_points_GTv3_90,0.326,0.468,0.468
20_points_GTv3_78,0.320,0.566,0.622
20_points_GTv3_81,0.313,0.421,0.674
25_points_GTv3_95,0.309,0.364,0.538
20_points_GTv3_84,0.301,0.483,0.483
25_points_GTv3_74,0.280,0.538,0.889
20_points_GTv3_70,0.264,0.525,0.525
25_points_GTv3_71,0.260,0.662,0.662
25_points_GTv3_99,0.254,0.600,0.600
25_points_GTv3_08,0.218,0.342,0.499
25_points_GTv3_80,0.202,0.292,0.425
25_points_GTv3_04,0.173,0.201,0.250
20_points_GTv3_97,0.168,0.332,0.371
25_points_GTv3_39,0.160,0.239,0.239
20_points_GTv3_36,0.132,0.232,0.379
20_points_GTv3_89,0.128,0.138,0.279
25_points_GTv3_09,0.108,0.290,0.487
20_points_GTv3_73,0.008,0.008,0.074
