# all_ap,0.204536
# all_ap_50,0.301371
# all_ap_25,0.406463
# all_rc,0.496292
# all_rc_50,0.616453
# all_rc_25,0.700072
scene_id,AP,AP_50%,AP_25%
05_points_GTv3_51,0.022,0.064,0.177
05_points_GTv3_95,0.022,0.025,0.195
10_points_GTv3_63,0.021,0.036,0.220
10_points_GTv3_35,0.021,0.041,0.250
10_points_GTv3_32,0.019,0.039,0.139
10_points_GTv3_34,0.019,0.038,0.195
05_points_GTv3_77,0.019,0.038,0.135
05_points_GTv3_19,0.019,0.030,0.128
10_points_GTv3_01,0.017,0.037,0.076
05_points_GTv3_04,0.013,0.034,0.184
05_points_GTv3_85,0.012,0.045,0.240
10_points_GTv3_62,0.010,0.022,0.183
10_points_GTv3_98,0.010,0.023,0.181
05_points_GTv3_94,0.007,0.031,0.201
10_points_GTv3_99,0.002,0.004,0.092
10_points_GTv3_50,0.001,0.010,0.053
05_points_GTv3_99,0.000,0.001,0.136
25_points_GTv3_20,nan,nan,nan
25_points_GTv3_94,0.952,1.000,1.000
25_points_GTv3_84,0.851,0.981,0.985
25_points_GTv3_57,0.807,0.981,0.981
25_points_GTv3_15,0.791,0.899,0.899
25_points_GTv3_86,0.757,0.866,0.866
25_points_GTv3_95,0.735,0.861,0.911
25_points_GTv3_30,0.680,0.854,0.854
25_points_GTv3_10,0.676,0.891,0.891
25_points_GTv3_44,0.669,0.754,0.754
25_points_GTv3_59,0.659,0.769,0.769
25_points_GTv3_79,0.636,0.723,0.723
25_points_GTv3_18,0.626,0.700,0.816
25_points_GTv3_05,0.596,0.793,0.795
25_points_GTv3_70,0.567,0.591,0.591
25_points_GTv3_40,0.559,0.714,0.714
25_points_GTv3_27,0.552,0.625,0.724
25_points_GTv3_78,0.541,0.577,0.577
25_points_GTv3_17,0.525,0.703,0.759
25_points_GTv3_90,0.521,0.567,0.567
25_points_GTv3_61,0.521,0.617,0.674
25_points_GTv3_00,0.516,0.631,0.654
25_points_GTv3_66,0.505,0.665,0.665
25_points_GTv3_96,0.495,0.618,0.770
25_points_GTv3_35,0.487,0.522,0.522
25_points_GTv3_83,0.484,0.699,0.699
20_points_GTv3_67,0.476,0.577,0.648
25_points_GTv3_60,0.461,0.537,0.584
25_points_GTv3_73,0.460,0.555,0.555
25_points_GTv3_69,0.451,0.624,0.673
25_points_GTv3_50,0.450,0.608,0.608
25_points_GTv3_89,0.449,0.540,0.602
25_points_GTv3_49,0.443,0.595,0.670
25_points_GTv3_33,0.436,0.467,0.636
25_points_GTv3_26,0.432,0.678,0.709
